image_id,region,terrain_type,optical_sensor,sar_sensor,date,crs,resolution_m,cloud_cover_pct,bounds_lon_min,bounds_lat_min,bounds_lon_max,bounds_lat_max,cloudy_geotiff,clear_geotiff,historical_geotiff,sar_geotiff
scene_08_odisha_cuttack,"Odisha, Mahanadi Delta",agriculture,Sentinel-2,Sentinel-1 C-SAR,2024-06-18,EPSG:4326,10.0,15.31,85.8,20.4,85.95,20.55,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_08_odisha_cuttack_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_08_odisha_cuttack_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_08_odisha_cuttack_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_08_odisha_cuttack_sar.tif"
scene_09_assam_kaziranga,"Assam, Brahmaputra Floodplain",wetland,Sentinel-2,Sentinel-1 C-SAR,2024-07-02,EPSG:4326,10.0,15.77,93.3,26.6,93.45,26.75,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_09_assam_kaziranga_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_09_assam_kaziranga_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_09_assam_kaziranga_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_09_assam_kaziranga_sar.tif"
scene_10_tamilnadu_cauvery,"Tamil Nadu, Cauvery Delta",agriculture,Sentinel-2,Sentinel-1 C-SAR,2024-01-28,EPSG:4326,10.0,19.23,79.1,10.75,79.25,10.9,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_10_tamilnadu_cauvery_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_10_tamilnadu_cauvery_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_10_tamilnadu_cauvery_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_10_tamilnadu_cauvery_sar.tif"
scene_11_telangana_hyderabad,"Telangana, Hyderabad Plateau",urban,LISS-IV,Sentinel-1 C-SAR,2024-03-14,EPSG:4326,5.8,16.15,78.4,17.3,78.55,17.45,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_11_telangana_hyderabad_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_11_telangana_hyderabad_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_11_telangana_hyderabad_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_11_telangana_hyderabad_sar.tif"
scene_12_gujarat_kutch,"Gujarat, Rann of Kutch",arid,Sentinel-2,Sentinel-1 C-SAR,2024-02-20,EPSG:4326,10.0,5.95,69.8,23.7,69.95,23.85,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_12_gujarat_kutch_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_12_gujarat_kutch_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_12_gujarat_kutch_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_12_gujarat_kutch_sar.tif"
scene_13_madhyapradesh_bhopal,"Madhya Pradesh, Upper Lake",forest,Sentinel-2,Sentinel-1 C-SAR,2024-04-25,EPSG:4326,10.0,13.44,77.35,23.2,77.5,23.35,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_13_madhyapradesh_bhopal_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_13_madhyapradesh_bhopal_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_13_madhyapradesh_bhopal_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_13_madhyapradesh_bhopal_sar.tif"
scene_14_himachal_shimla,"Himachal Pradesh, Himalayan Range",mountain,Sentinel-2,Sentinel-1 C-SAR,2024-05-18,EPSG:4326,10.0,19.65,77.1,31.05,77.25,31.2,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_14_himachal_shimla_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_14_himachal_shimla_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_14_himachal_shimla_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_14_himachal_shimla_sar.tif"
scene_15_andhra_visakhapatnam,"Andhra Pradesh, Vizag Coast",coastal,LISS-IV,Sentinel-1 C-SAR,2024-04-02,EPSG:4326,5.8,16.08,83.25,17.65,83.4,17.8,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_15_andhra_visakhapatnam_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_15_andhra_visakhapatnam_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_15_andhra_visakhapatnam_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_15_andhra_visakhapatnam_sar.tif"
scene_16_bihar_patna,"Bihar, Gangetic Plains",agriculture,Sentinel-2,Sentinel-1 C-SAR,2024-03-30,EPSG:4326,10.0,10.3,85.1,25.55,85.25,25.7,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_16_bihar_patna_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_16_bihar_patna_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_16_bihar_patna_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_16_bihar_patna_sar.tif"
scene_17_jharkhand_ranchi,"Jharkhand, Chota Nagpur Plateau",forest,Sentinel-2,Sentinel-1 C-SAR,2024-05-11,EPSG:4326,10.0,17.19,85.28,23.3,85.43,23.45,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_17_jharkhand_ranchi_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_17_jharkhand_ranchi_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_17_jharkhand_ranchi_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_17_jharkhand_ranchi_sar.tif"
scene_18_chhattisgarh_bastar,"Chhattisgarh, Indravati Forest",forest,Sentinel-2,Sentinel-1 C-SAR,2024-06-08,EPSG:4326,10.0,19.98,81.8,19.1,81.95,19.25,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_18_chhattisgarh_bastar_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_18_chhattisgarh_bastar_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_18_chhattisgarh_bastar_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_18_chhattisgarh_bastar_sar.tif"
scene_19_goa_mandovi,"Goa, Mandovi Estuary",coastal,Sentinel-2,Sentinel-1 C-SAR,2024-05-20,EPSG:4326,10.0,20.52,73.8,15.45,73.95,15.6,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_19_goa_mandovi_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_19_goa_mandovi_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_19_goa_mandovi_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_19_goa_mandovi_sar.tif"
scene_20_haryana_karnal,"Haryana, Agro Corridor",agriculture,Sentinel-2,Sentinel-1 C-SAR,2024-02-28,EPSG:4326,10.0,15.81,76.9,29.65,77.05,29.8,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_20_haryana_karnal_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_20_haryana_karnal_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_20_haryana_karnal_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_20_haryana_karnal_sar.tif"
scene_21_uttarpradesh_varanasi,"Uttar Pradesh, Varanasi Basin",agriculture,Sentinel-2,Sentinel-1 C-SAR,2024-04-05,EPSG:4326,10.0,15.38,82.95,25.25,83.1,25.4,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_21_uttarpradesh_varanasi_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_21_uttarpradesh_varanasi_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_21_uttarpradesh_varanasi_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_21_uttarpradesh_varanasi_sar.tif"
scene_22_maharashtra_nashik,"Maharashtra, Godavari River",agriculture,LISS-IV,Sentinel-1 C-SAR,2024-03-18,EPSG:4326,5.8,14.48,73.75,19.95,73.9,20.1,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_22_maharashtra_nashik_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_22_maharashtra_nashik_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_22_maharashtra_nashik_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_22_maharashtra_nashik_sar.tif"
scene_23_kerala_wayanad,"Kerala, Western Ghats Highlands",forest,Sentinel-2,Sentinel-1 C-SAR,2024-06-15,EPSG:4326,10.0,20.63,76.05,11.6,76.2,11.75,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_23_kerala_wayanad_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_23_kerala_wayanad_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_23_kerala_wayanad_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_23_kerala_wayanad_sar.tif"
scene_24_westbengal_sunderbans,"West Bengal, Sunderbans Delta",wetland,Sentinel-2,Sentinel-1 C-SAR,2024-05-30,EPSG:4326,10.0,22.34,88.75,21.8,88.9,21.95,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_24_westbengal_sunderbans_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_24_westbengal_sunderbans_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_24_westbengal_sunderbans_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_24_westbengal_sunderbans_sar.tif"
scene_25_karnataka_mysuru,"Karnataka, Mysuru Basin",agriculture,Sentinel-2,Sentinel-1 C-SAR,2024-01-20,EPSG:4326,10.0,14.8,76.6,12.25,76.75,12.4,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_25_karnataka_mysuru_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_25_karnataka_mysuru_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_25_karnataka_mysuru_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_25_karnataka_mysuru_sar.tif"
scene_26_gujarat_surat,"Gujarat, Tapi Coastal Plain",urban,LISS-IV,Sentinel-1 C-SAR,2024-04-12,EPSG:4326,5.8,13.82,72.78,21.15,72.93,21.3,"D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\cloudy\scene_26_gujarat_surat_cloudy.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\clear\scene_26_gujarat_surat_clear.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\historical\scene_26_gujarat_surat_historical.tif","D:\VIT,Pune\SEM 5\Machine Learning\AI-Based Cloud Removal and Spectral Reconstruction of Satellite Imagery\data\sar\scene_26_gujarat_surat_sar.tif"
